school_year,district,school_name,school_key,dpi_true_id,accurate_agency_type,broad_agency_type,Choice Students,All Students,rc_n
2024-25,Madison,Abundant Life Christian School,008636,0000_1300,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Madison/Abundant Life Christian School Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,Milwaukee,Academy of Excellence,000765,0000_1652,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Academy of Excellence Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,Denmark,All Saints Grade School,011341,0000_1294,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Denmark/All Saints Grade School Choice Students School Report Card 2024-25.pdf,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Denmark/All Saints Grade School All Students School Report Card 2024-25.pdf,both
2024-25,Menomonee Falls,Aquinas Academy,002882,0000_0857,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Menomonee Falls/Aquinas Academy Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,La Crosse,Aquinas High,014131,0000_0071,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/La Crosse/Aquinas High Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,La Crosse,Aquinas Middle,014130,0000_0070,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/La Crosse/Aquinas Middle Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,Cumberland,Ascension Academy Inc,002178,0000_1894,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Cumberland/Ascension Academy Inc Choice Students School Report Card 2024-25.pdf,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Cumberland/Ascension Academy Inc All Students School Report Card 2024-25.pdf,both
2024-25,Wisconsin Rapids,Assumption High School,013439,0000_1307,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Wisconsin Rapids/Assumption High School Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,Wisconsin Rapids,Assumption Middle School,070082,0000_1198,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Wisconsin Rapids/Assumption Middle School Choice Students School Report Card 2024-25.pdf,NA,choice_only
2024-25,Pulaski,Assumption of the Blessed Virgin Mary School,011095,0000_0090,Private,Private,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Pulaski/Assumption of the Blessed Virgin Mary School Choice Students School Report Card 2024-25.pdf,NA,choice_only
